,Time
372,2007-09-11T09:35:19.312000
373,2007-09-11T16:23:36.337000
374,2007-09-11T20:28:02.155000
375,2007-09-11T23:04:27.947
376,2007-09-12T05:48:37.108000
377,2007-09-12T09:58:57.870000
378,2007-09-12T12:24:19.133000
379,2007-09-12T16:59:40.027000
380,2007-09-12T19:04:07.002000
381,2007-09-12T23:27:47.266000
382,2007-09-13T01:52:56.430000
383,2007-09-13T07:35:52.220
384,2007-09-13T08:35:27.366000
385,2007-09-13T13:11:26.855000
386,2007-09-13T15:17:34.582000
387,2007-09-13T22:02:19.265000
388,2007-09-14T02:35:24.878000
389,2007-09-14T02:51:17.663000
390,2007-09-14T04:44:14.039000
391,2007-09-14T11:25:25.169000
392,2007-09-14T18:09:28.164000
393,2007-09-15T01:00:02.694000
394,2007-09-15T05:18:00.395000
395,2007-09-15T07:34:43.468000
396,2007-09-15T14:18:56.614
397,2007-09-15T21:06:23.689000
398,2007-09-16T01:38:08.331000
399,2007-09-16T03:58:16.977000
400,2007-09-16T08:10:16.153000
401,2007-09-16T10:24:21.942000
402,2007-09-16T17:10:13.685
403,2007-09-17T00:11:27.154
404,2007-09-17T04:18:22.040
405,2007-09-17T06:50:12.244
406,2007-09-17T10:55:32.052
407,2007-09-17T13:23:12.604
408,2007-09-17T20:06:07.346
409,2007-09-18T02:52:47.827
410,2007-09-18T09:35:53.946000
411,2007-09-18T14:12:55.774000
412,2007-09-18T16:11:44.441
413,2007-09-18T23:02:06.652000
414,2007-09-19T03:30:10.326000
415,2007-09-19T05:44:28.586000
416,2007-09-19T10:55:01.896000
417,2007-09-19T12:24:02.830000
418,2007-09-20T08:42:10.139000
419,2007-09-20T13:30:34.505000
420,2007-09-20T15:14:15.702
421,2007-09-20T19:57:02.560000
422,2007-09-20T22:01:50.460000
423,2007-09-21T04:54:02.794000
424,2007-09-21T09:26:18.504000
425,2007-09-21T16:07:17.932000
426,2007-09-21T18:10:53.094000
427,2007-09-21T22:41:24.206000
428,2007-09-22T07:44:34.734000
429,2007-09-22T14:21:01.725000
430,2007-09-22T18:57:42.330000
431,2007-09-23T01:49:49.689000
432,2007-09-23T03:50:39.413000
433,2007-09-23T10:34:05.669000
434,2007-09-23T15:29:52.538000
435,2007-09-23T17:19:07.759000
436,2007-09-24T13:31:04.205000
437,2007-09-24T17:55:07.288000
438,2007-09-24T20:15:43.485000
439,2007-09-25T00:50:53.129000
440,2007-09-25T16:11:52.561000
441,2007-09-25T21:08:38.681000
442,2007-09-25T23:01:46.525000
443,2007-09-26T05:42:53.367000
444,2007-09-26T10:30:17.205000
445,2007-09-26T12:27:54.893000
446,2007-09-27T06:35:11.112000
447,2007-09-28T09:33:55.534
448,2007-09-28T11:30:02.160
449,2007-09-28T16:06:24.164000
450,2007-09-28T18:20:10.575000
451,2007-09-28T23:17:30.747000
452,2007-09-29T01:00:40.185000
453,2007-09-29T05:41:01.331000
454,2007-09-29T07:39:50.491000
455,2007-09-29T14:30:18.896000
456,2007-09-29T18:57:20.720000
457,2007-09-30T03:56:29.797000
458,2007-09-30T10:38:39.382000
459,2007-09-30T14:59:21.337000
460,2007-09-30T17:21:15.907000
461,2007-09-30T22:11:15.620000
462,2007-09-30T23:54:04.892000
463,2007-10-01T00:02:11.176000
464,2007-10-01T06:48:49.467000
465,2007-10-01T13:31:06.549000
466,2007-10-01T17:49:37.495000
467,2007-10-01T20:12:17.037000
468,2007-10-02T01:03:53.337000
469,2007-10-02T02:50:43.709000
470,2007-10-02T20:41:01.125000
471,2007-10-02T22:59:07.043000
472,2007-10-03T03:48:55.439000
473,2007-10-03T05:44:19.938000
474,2007-10-03T12:28:36.682000
475,2007-10-03T16:58:42.854000
476,2007-10-03T19:18:16.236000
477,2007-10-04T01:56:38.276000
478,2007-10-04T06:52:27.359000
479,2007-10-04T08:40:13.514000
480,2007-10-04T15:26:11.536000
481,2007-10-04T20:10:17.402000
482,2007-10-04T22:05:50.466000
483,2007-10-05T02:54:52.446000
484,2007-10-05T04:45:07.257000
485,2007-10-05T09:36:31.184000
486,2007-10-05T11:38:01.969000
487,2007-10-05T18:19:38.940000
488,2007-10-05T23:04:40.524000
489,2007-10-06T00:56:12.150000
490,2007-10-06T07:45:57.338000
491,2007-10-06T14:27:00.891000
492,2007-10-06T21:15:05.081000
493,2007-10-07T02:04:21.451000
494,2007-10-07T03:59:02.268000
495,2007-10-07T10:37:51.200000
496,2007-10-07T15:19:57.118
497,2007-10-07T17:19:42.476000
498,2007-10-07T22:07:30.640000
499,2007-10-08T00:03:31.830000
500,2007-10-08T04:51:14.387000
501,2007-10-08T06:43:46.735000
502,2007-10-08T13:32:32.450000
503,2007-10-08T18:09:24.028000
504,2007-10-09T02:44:40.065000
505,2007-10-09T07:50:20.121000
506,2007-10-09T09:32:28.933000
507,2007-10-09T14:35:04.894000
508,2007-10-09T16:18:34.078000
509,2007-10-09T21:17:23.509000
510,2007-10-09T23:10:32.136000
511,2007-10-10T04:16:51.284
512,2007-10-10T05:47:36.662
513,2007-10-10T12:31:15.630
514,2007-10-10T19:14:20.024
515,2007-10-10T23:57:33.061
516,2007-10-11T02:00:43.217
517,2007-10-11T08:45:05.402
518,2007-10-11T15:23:40.194000
519,2007-10-11T20:13:23.278000
520,2007-10-11T22:13:17.406000
521,2007-10-12T09:48:19.628000
522,2007-10-12T11:34:13.595000
523,2007-10-12T16:28:08.116000
524,2007-10-12T18:17:19.208000
525,2007-10-12T23:08:42.929
526,2007-10-13T01:11:58.388000
527,2007-10-13T12:23:41.226000
528,2007-10-13T14:24:55.762000
529,2007-10-13T19:22:00.791000
530,2007-10-13T21:11:35.380000
531,2007-10-14T01:56:34.400000
532,2007-10-14T10:39:47.488000
533,2007-10-14T15:20:17.848000
534,2007-10-14T17:31:23.168000
535,2007-10-14T22:10:00.779000
536,2007-10-15T00:10:27.002000
537,2007-10-15T04:54:14.400000
538,2007-10-15T06:39:56.338000
539,2007-10-15T11:46:52.052000
540,2007-10-15T13:21:10.675000
541,2007-10-15T18:14:51.962000
542,2007-10-15T20:25:32.910000
543,2007-10-16T00:49:46.395000
544,2007-10-16T02:56:20.681000
545,2007-10-16T07:53:25.922000
546,2007-10-16T09:29:57.324000
547,2007-10-16T14:55:05.955000
548,2007-10-16T16:12:14.693
549,2007-10-16T21:39:23.985
550,2007-10-16T23:00:05.881000
551,2007-10-17T23:54:05.647000
552,2007-10-18T02:12:45.251000
553,2007-10-18T08:45:08.433000
554,2007-10-18T13:33:29.050000
555,2007-10-18T15:20:46.991000
556,2007-10-18T20:18:17.719
557,2007-10-18T22:16:45.461000
558,2007-10-19T09:45:21.087000
559,2007-10-19T11:35:44.464000
560,2007-10-19T16:12:31.980
561,2007-10-19T18:14:45.640000
562,2007-10-19T23:11:09.867
563,2007-10-20T01:04:38.295000
564,2007-10-20T05:51:56.725000
565,2007-10-20T07:47:17.822000
566,2007-10-20T12:21:35.680000
567,2007-10-20T14:37:31.124000
568,2007-10-20T19:18:50.488000
569,2007-10-20T21:04:52.426000
570,2007-10-21T01:47:00.826000
571,2007-10-21T03:53:25.362000
572,2007-10-21T08:33:33.925
573,2007-10-21T10:44:48.115
574,2007-10-21T15:13:36.469000
575,2007-10-21T17:25:00.602000
576,2007-10-21T22:11:34.527000
577,2007-10-22T00:04:27.947
578,2007-10-22T05:01:13.469
579,2007-10-22T06:44:36.819000
580,2007-10-22T11:38:57.407000
581,2007-10-22T13:27:25.772000
582,2007-10-22T18:32:07.490
583,2007-10-22T20:16:32.702000
584,2007-10-23T01:12:51.571000
585,2007-10-23T07:52:24.317000
586,2007-10-23T09:45:40.133000
587,2007-10-23T21:25:08.839000
588,2007-10-23T23:01:48.043
589,2007-10-24T05:50:31.988000
590,2007-10-24T10:40:01.614000
591,2007-10-24T12:22:39.050000
592,2007-10-24T17:21:32.736000
593,2007-10-24T19:16:29.675
594,2007-10-25T00:20:05.203000
595,2007-10-25T02:01:42.141000
596,2007-10-25T07:06:24.633
597,2007-10-25T08:46:31.836
598,2007-10-25T13:29:18.943
599,2007-10-25T15:27:20.771000
600,2007-10-25T22:15:06.014000
601,2007-10-26T03:13:05.132000
602,2007-10-26T04:57:30.444000
603,2007-10-26T10:14:32.989
604,2007-10-26T11:35:13.591000
605,2007-10-26T16:35:30.807000
606,2007-10-26T18:13:58.398000
607,2007-10-26T23:30:28.091
608,2007-10-27T01:09:17.773000
609,2007-10-27T07:49:03.111000
610,2007-10-27T14:26:04.531000
611,2007-10-27T19:26:46.526000
612,2007-10-27T21:11:08.651000
613,2007-10-28T02:27:55.463000
614,2007-10-28T03:51:20.206000
615,2007-10-28T08:29:31.908
616,2007-10-28T10:37:26.511000
617,2007-10-28T15:35:10.417000
618,2007-10-28T17:15:14.664000
619,2007-10-28T22:21:30.035000
620,2007-10-28T23:57:41.564000
621,2007-10-29T06:45:53.987000
622,2007-10-29T11:28:53.444000
623,2007-10-29T13:40:59.063
624,2007-10-29T20:07:20.816
625,2007-10-30T02:50:33.853
626,2007-10-30T07:53:41.133000
627,2007-10-30T09:45:53.230000
628,2007-10-30T14:53:44.761000
629,2007-10-30T16:23:30.009000
630,2007-10-30T21:30:57.226000
631,2007-10-30T23:10:45.402000
632,2007-10-31T04:15:56.901000
633,2007-10-31T05:49:34.991000
634,2007-10-31T11:07:57.156000
635,2007-10-31T12:35:00.360
636,2007-10-31T17:15:19.509000
637,2007-10-31T19:26:22.266000
638,2007-11-01T00:10:52.100000
639,2007-11-01T02:10:01.825000
640,2007-11-01T08:45:05.402
641,2007-11-01T13:49:13.795000
642,2007-11-01T15:24:42.352
643,2007-11-01T20:32:16.134
644,2007-11-01T22:13:58.415
645,2007-11-02T03:13:54.093
646,2007-11-02T05:03:15.532000
647,2007-11-02T09:45:28.363000
648,2007-11-02T11:54:57.478
649,2007-11-02T16:20:57.930000
650,2007-11-02T18:21:45.162
651,2007-11-02T23:17:04.249
652,2007-11-03T01:00:38.895
653,2007-11-03T06:16:21.048000
654,2007-11-03T07:50:23.386000
655,2007-11-03T14:44:13.949000
656,2007-11-03T19:36:44.330000
657,2007-11-03T21:14:54.597
658,2007-11-04T02:09:04.537
659,2007-11-04T04:00:32.512000
660,2007-11-04T22:25:12.999000
661,2007-11-04T22:39:09.035000
662,2007-11-05T05:16:42.028000
663,2007-11-05T07:06:21.188000
664,2007-11-05T18:27:48.187
665,2007-11-05T20:10:09.703000
666,2007-11-06T01:09:33.598000
667,2007-11-06T02:58:08.505000
668,2007-11-06T09:40:58.027000
669,2007-11-06T14:33:42.801000
670,2007-11-06T16:38:10.308000
671,2007-11-06T21:27:29.864000
672,2007-11-06T23:15:08.519000
673,2007-11-07T04:08:35.426000
674,2007-11-07T06:00:51.366000
675,2007-11-07T12:39:23.265000
676,2007-11-07T18:02:11.826000
677,2007-11-07T19:37:06.478000
678,2007-11-08T00:23:25.781000
679,2007-11-08T02:10:35.841000
680,2007-11-08T08:45:05.964000
681,2007-11-08T15:41:09.710000
682,2007-11-08T20:24:31.089000
683,2007-11-08T22:18:23.242000
684,2007-11-09T03:13:02.232
685,2007-11-09T04:58:20.600
686,2007-11-09T09:58:42.208
687,2007-11-09T11:34:43.923000
688,2007-11-09T16:44:51.235000
689,2007-11-09T18:15:12.889000
690,2007-11-09T23:22:57.171000
691,2007-11-10T00:54:34.820000
692,2007-11-10T07:57:15.774
693,2007-11-10T12:52:40.369000
694,2007-11-10T14:44:28.748000
695,2007-11-10T19:35:51.335000
696,2007-11-10T21:29:31.965000
697,2007-11-11T03:56:55.639000
698,2007-11-11T09:03:44.484000
699,2007-11-11T10:54:15.580000
700,2007-11-11T15:42:29.016000
701,2007-11-11T22:23:11.596
702,2007-11-12T00:17:26.003000
703,2007-11-12T06:56:27.430000
704,2007-11-12T11:52:45.487000
705,2007-11-12T13:48:50.736000
706,2007-11-12T18:26:50.748000
707,2007-11-12T20:49:24.705
708,2007-11-13T01:20:26.745000
709,2007-11-13T03:02:56.368000
710,2007-11-13T08:06:40.609000
711,2007-11-13T09:48:53.285000
712,2007-11-13T14:47:24.715000
713,2007-11-13T16:46:02.215000
714,2007-11-13T23:08:19.964000
715,2007-11-14T04:07:29.459
716,2007-11-14T05:56:23.913
717,2007-11-14T10:49:11.418000
718,2007-11-14T13:02:05.330
719,2007-11-14T17:29:15.072000
720,2007-11-14T19:34:26.393000
721,2007-11-15T00:30:53.883000
722,2007-11-15T02:04:52.848000
723,2007-11-15T08:51:08.427
724,2007-11-15T13:45:53.338000
725,2007-11-15T15:46:15.341000
726,2007-11-15T20:35:19.859000
727,2007-11-15T22:20:09.702000
728,2007-11-16T03:09:49.978000
729,2007-11-16T05:03:47.138000
730,2007-11-16T09:51:30.036
731,2007-11-16T09:52:08.503000
732,2007-11-16T11:45:16.725000
733,2007-11-16T18:49:01.099000
734,2007-11-16T23:22:41.681000
735,2007-11-17T01:11:12.494000
736,2007-11-17T06:15:33.493
737,2007-11-17T07:53:44.825000
738,2007-11-17T12:59:12.460
739,2007-11-17T14:41:20.672
740,2007-11-17T19:35:09.277000
741,2007-11-17T21:28:45.247000
742,2007-11-18T02:19:46.296000
743,2007-11-18T04:00:34.919000
744,2007-11-18T04:27:38.801000
745,2007-11-18T08:56:10.948
746,2007-11-18T10:55:45.018
747,2007-11-18T15:51:22.832000
748,2007-11-18T17:43:54.617000
749,2007-11-18T22:24:48.629000
750,2007-11-19T05:02:37.845000
751,2007-11-19T06:57:18.035000
752,2007-11-19T12:02:51.273000
753,2007-11-19T13:44:40.116000
754,2007-11-19T20:36:26.794
755,2007-11-20T01:15:39.319000
756,2007-11-20T03:23:32.669000
757,2007-11-20T08:07:55.390
758,2007-11-20T09:50:45.537000
759,2007-11-20T14:38:45.500000
760,2007-11-20T16:39:11.653000
761,2007-11-20T23:47:36.662
762,2007-11-21T04:04:05.639000
763,2007-11-21T06:09:21.301000
764,2007-11-21T10:42:38.444000
765,2007-11-21T12:53:35.608000
766,2007-11-21T17:34:37.429000
767,2007-11-21T19:49:37.671
768,2007-11-22T00:09:04.577000
769,2007-11-22T00:15:18.235000
770,2007-11-22T02:21:17.177000
771,2007-11-22T06:48:58.775
772,2007-11-22T09:26:34.717
773,2007-11-22T13:30:10.804
774,2007-11-22T16:00:43.946000
775,2007-11-22T22:39:54.237
776,2007-11-23T02:54:27.226
777,2007-11-23T05:10:43.937
778,2007-11-23T09:59:36.590000
779,2007-11-23T11:55:14.765
780,2007-11-23T16:52:46.148000
781,2007-11-23T18:34:43.073
782,2007-11-23T23:44:11.492000
783,2007-11-24T01:21:39.207000
784,2007-11-24T06:33:35.797000
785,2007-11-24T08:11:52.108000
786,2007-11-24T13:11:44.441
